problem_num,persona,mi_median,mi_mean,mi_std,mi_min,mi_max,mi_range
1,senior,74.15924511919414,73.73247856711396,1.4769087700992436,71.74059578216081,75.13465790475091,3.3940621225900998
1,vibecoder,52.07992210812791,52.034010045265106,1.5604892197701377,49.76006859179406,54.17021531014774,4.41014671835368
2,senior,73.74177259762239,73.12329757170576,2.3319095103819243,69.8205196098953,75.82204645010184,6.001526840206537
2,vibecoder,64.84542575228255,64.84542575228255,0.0,64.84542575228255,64.84542575228255,0.0
3,senior,72.36611475016538,72.3386797900597,0.55791249195691,71.70966995547019,72.90840839539794,1.1987384399277516
3,vibecoder,57.34779657305409,57.34779657305409,0.0,57.34779657305409,57.34779657305409,0.0
4,senior,68.61405763994664,69.75741696912462,2.3982277980090343,67.27507521098207,72.32948392692013,5.054408715938067
4,vibecoder,57.70138164061031,57.03451072316402,2.3302685068355498,53.553915448388686,59.898487400767905,6.344571952379219
6,senior,70.4262049719411,71.55013182299041,3.7309710563490386,67.86492650460357,77.40251718043038,9.537590675826806
6,vibecoder,64.87103433093603,61.20924397719662,5.014112943994736,55.71655844658751,64.87103433093603,9.154475884348514
7,senior,76.58103414735879,76.43292718678552,0.21507286131871114,76.10950519244561,76.58103414735879,0.4715289549131825
7,vibecoder,53.410452203420036,53.789595542662816,0.6224561594970477,53.410452203420036,54.84394629171299,1.433494088292953
8,senior,69.68434476503035,70.03005625042253,2.1964384452709695,67.38184158297403,73.2019292996829,5.820087716708869
8,vibecoder,50.074521596854815,50.118939752948435,0.44383397012921805,49.58254320429388,50.58747823000214,1.0049350257082637
9,senior,68.46218491926115,67.97068174327468,0.86494272769673,66.56021770539687,68.62721353445193,2.0669958290550596
9,vibecoder,41.89151155885498,42.02115799352672,2.786780542144016,38.69206574782064,44.84941860632252,6.157352858501881
11,senior,77.1658423159238,77.27817378144431,1.284811446484299,76.01515634769845,78.64754712086368,2.632390773165227
11,vibecoder,58.454446720708916,57.934210415845925,6.374711383053178,51.43969074303161,64.4719589818434,13.032268238811788
12,senior,74.73815159967694,73.2907695239824,2.9771520208590228,68.40254909509626,75.61942031517607,7.21687122007981
12,vibecoder,68.32899419065265,68.32899419065265,0.0,68.32899419065265,68.32899419065265,0.0
13,senior,70.21870713678757,70.26295168626558,1.4555653304225582,68.81867610729243,71.7397157730031,2.9210396657106656
13,vibecoder,58.615069174434346,58.60806469812185,0.015662485181526898,58.58004679287187,58.615069174434346,0.03502238156247728
14,senior,74.06375120503036,73.70359158465537,1.0831725367668368,72.46230812180137,75.13819774746156,2.67588962566019
14,vibecoder,65.3960063013103,64.37538875177925,1.4802073812735697,62.15467833146915,65.3960063013103,3.2413279698411444
15,senior,80.69708806209469,80.54624763115933,1.6135409044202789,78.4402707625053,82.70285527695908,4.262584514453778
15,vibecoder,67.84926407934918,67.84926407934918,0.0,67.84926407934918,67.84926407934918,0.0
16,senior,77.50509933835185,79.76375489242885,5.531699192259568,76.30312445435948,89.46981026386277,13.166685809503292
16,vibecoder,66.3130547934018,63.85103309848334,3.371262048434864,60.15800055610564,66.3130547934018,6.155054237296163
17,senior,78.23505226373481,78.1344069545945,1.0170030494433837,77.08478660693578,79.44676530585251,2.3619786989167295
17,vibecoder,54.47069669580682,54.47069669580682,0.0,54.47069669580682,54.47069669580682,0.0
18,senior,69.69011812100044,70.06793697121451,1.1951282402590282,68.57237975765722,71.62589483333652,3.0535150756793
18,vibecoder,59.36079446409411,59.36079446409411,0.0,59.36079446409411,59.36079446409411,0.0
19,senior,79.25149249317205,77.49250126160366,4.9052459201760215,71.9502648361907,81.90657923606484,9.956314399874145
19,vibecoder,60.72014007072348,59.72813449360743,1.3603994167769096,58.13480921346168,60.72014007072348,2.585330857261802
20,senior,70.18700662789514,69.56588275709125,3.011328397972402,65.79900041029074,72.42519183845683,6.626191428166081
20,vibecoder,59.7082322394727,59.925670961796,3.4529904385989663,55.852059853884285,65.06910091482634,9.217041060942051
21,senior,92.36936818298808,92.81142860935228,1.1706014747119986,91.56351795169273,94.48171131650149,2.918193364808758
